0,1,1,1,1,1,1,1,1,1,1,1,1
0.5,0.52,0.54,0.54,0.53,0.64,0.67,0.67,0.77,0.56,0.56,0.57,0.62
1,0.26,0.28,0.38,0.28,0.44,0.45,0.47,0.62,0.34,0.32,0.31,0.4
1.5,0.13,0.16,0.15,0.16,0.35,0.32,0.35,0.53,0.24,0.2,0.18,0.29
2,0.95,0.09,0.06,0.1,0.3,0.24,0.27,0.47,0.17,0.14,0.11,0.23
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
