lH,wH_0.5,wH_1,wH_2,wH_4,wH_6,wH_8
0,1,1,1,1,1,1
0.1,0.95,0.95,0.94,0.93,0.93,0.93
0.2,0.92,0.91,0.89,0.88,0.88,0.88
0.3,0.9,0.88,0.86,0.84,0.84,0.84
0.4,0.89,0.86,0.83,0.81,0.81,0.8
0.5,0.87,0.84,0.81,0.78,0.78,0.77
0.6,0.86,0.82,0.8,0.76,0.75,0.74
0.7,0.86,0.81,0.78,0.74,0.73,0.72
0.8,0.85,0.8,0.77,0.72,0.77,0.7
1,0.84,0.79,0.74,0.69,0.68,0.67
