0,1,1,1,1,1,1
0.1,0.77,0.86,0.9,0.91,0.91,0.92
0.2,0.62,0.71,0.79,0.8,0.83,0.83
0.3,0.49,0.62,0.69,0.73,0.73,0.76
0.4,0.39,0.54,0.6,0.66,0.67,0.69
0.5,0.3,0.48,0.55,0.61,0.62,0.62
0.6,0.27,0.4,0.49,0.54,0.56,0.57
0.7,0.21,0.35,0.44,0.5,0.53,0.53
0.8,0.19,0.31,0.4,0.45,0.49,0.49
1,0.14,0.23,0.35,0.38,0.42,0.43
1.2,0.1,0.19,0.28,0.34,0.35,0.38
